id;start_date;end_date;language
1;2020-02-02T08:38:57;2020-02-02T06:29:12;SPANISH
2;2020-02-01T13:29:08;2020-02-02T08:33:33;SPANISH
3;2020-02-02T04:24:27;2020-02-01T14:58:36;FRENCH
4;2020-02-01T19:41:58;2020-02-02T07:13:24;FRENCH
5;2020-02-02T05:12:16;2020-02-02T09:59:15;FRENCH
6;2020-02-01T23:04:37;2020-02-02T11:12:51;FRENCH
7;2020-02-02T00:49:57;2020-02-01T18:40:48;FRENCH
8;2020-02-01T23:46:10;2020-02-02T10:02:18;SPANISH
9;2020-02-01T22:27:19;2020-02-01T19:08:42;SPANISH
10;2020-02-02T06:39:23;2020-02-01T17:13:53;SPANISH
